2025-07-22 15:12:39,956 - INFO - Started real-time monitoring for PlamaLV_rank_0
/home/xfu601/Projects/distributed_inference/venv/lib/python3.10/site-packages/torch/cuda/__init__.py:146: UserWarning: 
NVIDIA GeForce RTX 4090 with CUDA capability sm_89 is not compatible with the current PyTorch installation.
The current PyTorch install supports CUDA capabilities sm_37 sm_50 sm_60 sm_70.
If you want to use the NVIDIA GeForce RTX 4090 GPU with PyTorch, please check the instructions at https://pytorch.org/get-started/locally/

  warnings.warn(incompatible_device_warn.format(device_name, capability, " ".join(arch_list), device_name))
[W DispatchStub.cpp:37] Warning: ignoring invalid value for ATEN_CPU_CAPABILITY:  (function compute_cpu_capability)
2025-07-22 15:12:51,777 - INFO - Loaded weights for mobilenetv2 from ./models/mobilenetv2_100epochs_jul15.pth
2025-07-22 15:12:51,778 - INFO - Starting enhanced profiling for model: mobilenetv2
2025-07-22 15:12:51,957 - INFO - Profiled layer features.3.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:51,968 - INFO - Profiled layer features.3.conv.1.0: 0.19ms, 0.00MB
2025-07-22 15:12:51,972 - INFO - Profiled layer features.3.conv.1.1: 0.03ms, 0.00MB
2025-07-22 15:12:51,976 - INFO - Profiled layer features.3.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:51,985 - INFO - Profiled layer features.3.conv.2: 0.14ms, 0.00MB
2025-07-22 15:12:51,989 - INFO - Profiled layer features.3.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:51,999 - INFO - Profiled layer features.4.conv.0.0: 0.17ms, 0.24MB
2025-07-22 15:12:52,003 - INFO - Profiled layer features.4.conv.0.1: 0.03ms, 0.00MB
2025-07-22 15:12:52,007 - INFO - Profiled layer features.4.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,015 - INFO - Profiled layer features.4.conv.1.0: 0.11ms, 0.00MB
2025-07-22 15:12:52,019 - INFO - Profiled layer features.4.conv.1.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,022 - INFO - Profiled layer features.4.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,028 - INFO - Profiled layer features.4.conv.2: 0.06ms, 0.00MB
2025-07-22 15:12:52,032 - INFO - Profiled layer features.4.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,039 - INFO - Profiled layer features.5.conv.0.0: 0.07ms, 0.00MB
2025-07-22 15:12:52,042 - INFO - Profiled layer features.5.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,046 - INFO - Profiled layer features.5.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,053 - INFO - Profiled layer features.5.conv.1.0: 0.08ms, 0.00MB
2025-07-22 15:12:52,057 - INFO - Profiled layer features.5.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,060 - INFO - Profiled layer features.5.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,067 - INFO - Profiled layer features.5.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,070 - INFO - Profiled layer features.5.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,076 - INFO - Profiled layer features.6.conv.0.0: 0.07ms, 0.00MB
2025-07-22 15:12:52,080 - INFO - Profiled layer features.6.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,084 - INFO - Profiled layer features.6.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,090 - INFO - Profiled layer features.6.conv.1.0: 0.08ms, 0.00MB
2025-07-22 15:12:52,094 - INFO - Profiled layer features.6.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,098 - INFO - Profiled layer features.6.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,105 - INFO - Profiled layer features.6.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,109 - INFO - Profiled layer features.6.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,115 - INFO - Profiled layer features.7.conv.0.0: 0.08ms, 0.00MB
2025-07-22 15:12:52,119 - INFO - Profiled layer features.7.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,123 - INFO - Profiled layer features.7.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,129 - INFO - Profiled layer features.7.conv.1.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,132 - INFO - Profiled layer features.7.conv.1.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,136 - INFO - Profiled layer features.7.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,142 - INFO - Profiled layer features.7.conv.2: 0.06ms, 0.00MB
2025-07-22 15:12:52,145 - INFO - Profiled layer features.7.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,151 - INFO - Profiled layer features.8.conv.0.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,155 - INFO - Profiled layer features.8.conv.0.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,159 - INFO - Profiled layer features.8.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,164 - INFO - Profiled layer features.8.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,168 - INFO - Profiled layer features.8.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,172 - INFO - Profiled layer features.8.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,178 - INFO - Profiled layer features.8.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,182 - INFO - Profiled layer features.8.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,187 - INFO - Profiled layer features.9.conv.0.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,191 - INFO - Profiled layer features.9.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,195 - INFO - Profiled layer features.9.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,200 - INFO - Profiled layer features.9.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,204 - INFO - Profiled layer features.9.conv.1.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,208 - INFO - Profiled layer features.9.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,214 - INFO - Profiled layer features.9.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,218 - INFO - Profiled layer features.9.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,223 - INFO - Profiled layer features.10.conv.0.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,227 - INFO - Profiled layer features.10.conv.0.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,231 - INFO - Profiled layer features.10.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,236 - INFO - Profiled layer features.10.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,240 - INFO - Profiled layer features.10.conv.1.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,244 - INFO - Profiled layer features.10.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,250 - INFO - Profiled layer features.10.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,253 - INFO - Profiled layer features.10.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,259 - INFO - Profiled layer features.11.conv.0.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,263 - INFO - Profiled layer features.11.conv.0.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,267 - INFO - Profiled layer features.11.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,272 - INFO - Profiled layer features.11.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,276 - INFO - Profiled layer features.11.conv.1.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,280 - INFO - Profiled layer features.11.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,286 - INFO - Profiled layer features.11.conv.2: 0.08ms, 0.00MB
2025-07-22 15:12:52,290 - INFO - Profiled layer features.11.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,298 - INFO - Profiled layer features.12.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,302 - INFO - Profiled layer features.12.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,305 - INFO - Profiled layer features.12.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,311 - INFO - Profiled layer features.12.conv.1.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,315 - INFO - Profiled layer features.12.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,319 - INFO - Profiled layer features.12.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,326 - INFO - Profiled layer features.12.conv.2: 0.10ms, 0.00MB
2025-07-22 15:12:52,330 - INFO - Profiled layer features.12.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,338 - INFO - Profiled layer features.13.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,342 - INFO - Profiled layer features.13.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,346 - INFO - Profiled layer features.13.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,351 - INFO - Profiled layer features.13.conv.1.0: 0.06ms, 0.00MB
2025-07-22 15:12:52,355 - INFO - Profiled layer features.13.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,359 - INFO - Profiled layer features.13.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,366 - INFO - Profiled layer features.13.conv.2: 0.10ms, 0.00MB
2025-07-22 15:12:52,370 - INFO - Profiled layer features.13.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,378 - INFO - Profiled layer features.14.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,382 - INFO - Profiled layer features.14.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,385 - INFO - Profiled layer features.14.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,391 - INFO - Profiled layer features.14.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,395 - INFO - Profiled layer features.14.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,399 - INFO - Profiled layer features.14.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,406 - INFO - Profiled layer features.14.conv.2: 0.07ms, 0.00MB
2025-07-22 15:12:52,409 - INFO - Profiled layer features.14.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,417 - INFO - Profiled layer features.15.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,421 - INFO - Profiled layer features.15.conv.0.1: 0.02ms, 0.01MB
2025-07-22 15:12:52,425 - INFO - Profiled layer features.15.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,430 - INFO - Profiled layer features.15.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,434 - INFO - Profiled layer features.15.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,438 - INFO - Profiled layer features.15.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,444 - INFO - Profiled layer features.15.conv.2: 0.08ms, 0.00MB
2025-07-22 15:12:52,448 - INFO - Profiled layer features.15.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,456 - INFO - Profiled layer features.16.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,460 - INFO - Profiled layer features.16.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,463 - INFO - Profiled layer features.16.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,468 - INFO - Profiled layer features.16.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,472 - INFO - Profiled layer features.16.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,476 - INFO - Profiled layer features.16.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,483 - INFO - Profiled layer features.16.conv.2: 0.08ms, 0.00MB
2025-07-22 15:12:52,486 - INFO - Profiled layer features.16.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,494 - INFO - Profiled layer features.17.conv.0.0: 0.12ms, 0.00MB
2025-07-22 15:12:52,498 - INFO - Profiled layer features.17.conv.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,502 - INFO - Profiled layer features.17.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,507 - INFO - Profiled layer features.17.conv.1.0: 0.05ms, 0.00MB
2025-07-22 15:12:52,511 - INFO - Profiled layer features.17.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,515 - INFO - Profiled layer features.17.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,522 - INFO - Profiled layer features.17.conv.2: 0.10ms, 0.00MB
2025-07-22 15:12:52,526 - INFO - Profiled layer features.17.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:52,540 - INFO - Profiled layer features.18.0: 0.30ms, 0.00MB
2025-07-22 15:12:52,544 - INFO - Profiled layer features.18.1: 0.02ms, 0.00MB
2025-07-22 15:12:52,548 - INFO - Profiled layer features.18.2: 0.01ms, 0.00MB
2025-07-22 15:12:52,551 - INFO - Profiled layer classifier.0: 0.00ms, 0.00MB
2025-07-22 15:12:52,555 - INFO - Profiled layer classifier.1: 0.01ms, 0.00MB
2025-07-22 15:12:52,557 - INFO - Added functional operation: functional.adaptive_avg_pool2d after features.18.2
2025-07-22 15:12:52,557 - INFO - 
Block-level execution summary:
2025-07-22 15:12:52,557 - INFO -   Block 0: 0.13ms, 928 params
2025-07-22 15:12:52,557 - INFO -   Block 1: 0.38ms, 896 params
2025-07-22 15:12:52,557 - INFO -   Block 2: 1.22ms, 5,136 params
2025-07-22 15:12:52,557 - INFO -   Block 3: 0.63ms, 8,832 params
2025-07-22 15:12:52,557 - INFO -   Block 4: 0.42ms, 10,000 params
2025-07-22 15:12:52,557 - INFO -   Block 5: 0.28ms, 14,848 params
2025-07-22 15:12:52,557 - INFO -   Block 6: 0.28ms, 14,848 params
2025-07-22 15:12:52,557 - INFO -   Block 7: 0.25ms, 21,056 params
2025-07-22 15:12:52,557 - INFO -   Block 8: 0.24ms, 54,272 params
2025-07-22 15:12:52,557 - INFO -   Block 9: 0.24ms, 54,272 params
2025-07-22 15:12:52,557 - INFO -   Block 10: 0.23ms, 54,272 params
2025-07-22 15:12:52,557 - INFO -   Block 11: 0.25ms, 66,624 params
2025-07-22 15:12:52,557 - INFO -   Block 12: 0.34ms, 118,272 params
2025-07-22 15:12:52,557 - INFO -   Block 13: 0.34ms, 118,272 params
2025-07-22 15:12:52,557 - INFO -   Block 14: 0.30ms, 155,264 params
2025-07-22 15:12:52,557 - INFO -   Block 15: 0.30ms, 320,000 params
2025-07-22 15:12:52,557 - INFO -   Block 16: 0.30ms, 320,000 params
2025-07-22 15:12:52,558 - INFO -   Block 17: 0.32ms, 473,920 params
2025-07-22 15:12:52,558 - INFO -   Block 18: 0.33ms, 412,160 params
2025-07-22 15:12:52,558 - INFO - Completed enhanced profiling for mobilenetv2: 142 operations profiled
2025-07-22 15:12:52,558 - INFO - Finding optimal splits for mobilenetv2 with 2 splits using greedy method
2025-07-22 15:12:52,559 - INFO - Found optimal split with load balance score: 0.1593
2025-07-22 15:12:52,559 - INFO - Estimated total time: 785.58ms
2025-07-22 15:12:52,559 - INFO - Communication overhead: 782.81ms
2025-07-22 15:12:52,560 - INFO - Shard 2: Adding explicit AdaptiveAvgPool2d and Flatten for features→classifier transition
2025-07-22 15:12:52,560 - INFO - Created 3 shards from split configuration
Traceback (most recent call last):
  File "/home/xfu601/Projects/distributed_inference/distributed_runner.py", line 219, in <module>
    main()
  File "/home/xfu601/Projects/distributed_inference/distributed_runner.py", line 214, in main
    run_enhanced_inference(args.rank, args.world_size, args.model, args.batch_size, args.num_classes,
  File "/home/xfu601/Projects/distributed_inference/distributed_runner.py", line 144, in run_enhanced_inference
    model = EnhancedDistributedModel(model_type, num_splits, workers, num_classes, metrics_collector,
  File "/home/xfu601/Projects/distributed_inference/distributed_runner.py", line 91, in __init__
    shard_configs = self._create_shard_configs()  # Simplified: assume metadata exists
  File "/home/xfu601/Projects/distributed_inference/distributed_runner.py", line 114, in _create_shard_configs
    raise FileNotFoundError(f"Metadata not found: {metadata_path}")
FileNotFoundError: Metadata not found: ./model_shards/split_5/mobilenetv2_shards_metadata.json
